file,name,int_snr,int_snr_cc,int_snr_boxcar,boxcar_halfwidth_sigma,ew_used_A,cont_e_per_pix,cont_over_line,snr_penalty,exptime_s,nexpo,flux_in_W_m2,lambda_req_nm,fwhm_req_nm,line_centre_nm,fwhm_out_nm,dispersion_nm_pix,n_orders,orders,npix,flux_fraction,target_e,sky_e,const_var,limiting_noise,frac_var_line,frac_var_sky,frac_var_cont,frac_var_const,saturated,nonlinear,name_source,ew_is_limit,folder,folder_exptime_s,t_snr5_hr,t_snr5_cc_hr
2MASS_0314_16.out.json,2MASS 0314+16,77.36381693698793,74.2249182965907,75.20521237008442,1.7499999999999996,7.72,73.88522963094604,0.1462258208117238,1.0422890144230903,1000.0,1,8.340651974086626e-19,656.28,0.07419,656.2802759383718,0.07497763925787113,0.0053928239005927026,1,93,47,0.9999275633746839,10576.140920784224,10303.4690306057,5861.370000000001,line photons,0.3500458704365787,0.34102105979382763,0.11493524211501356,0.19399782765458007,False,False,filename,False,t1000s,1000.0,0.007243349767578436,0.007304480538275878
2MASS_0523_14.out.json,2MASS 0523-14,1.4956127555664929,1.4493301964149077,1.413713165840257,1.3499999999999996,0.34,19.381924608792524,3.5339116978990424,1.0319337575840692,1000.0,1,8.379150674384088e-21,656.28,0.079092,656.2802472376128,0.07980406331599857,0.0053928239005927026,1,93,51,0.9999485630201014,122.19044282270413,8789.309238085069,6360.21,sky,0.007514700571447527,0.5405416792694884,0.06079131219275306,0.39115230796631095,False,False,filename,False,t1000s,1000.0,2.2816612514040475,2.450538131061799
2MASS_0746_20.out.json,2MASS 0746+20,41.00096495161304,37.12121115367833,39.27021991154025,1.5999999999999996,2.36,120.13592932941296,0.6802892703957777,1.1045158193215436,1000.0,1,4.297342811536802e-19,656.28,0.105545,656.2804482382444,0.10663407798446035,0.0053928239005927026,1,93,67,0.9999346372872938,5257.027983022082,16050.193365430394,8355.57,sky,0.13939971670206386,0.425600247017925,0.21343680803661078,0.2215632282434003,False,False,filename,False,t1000s,1000.0,0.01780896779809638,0.018308727915984115
2MASS_1029_16.out.json,2MASS 1029+16,2.019067076645439,2.003264619032534,1.9043725223483436,1.4499999999999997,1.96,5.513120428462421,0.7762950979074029,1.0078883525734792,1000.0,1,1.5819763986011592e-20,656.28,0.100063,656.2804183413698,0.10105860732588401,0.0053928239005927026,1,93,64,0.999942002243043,200.36050743852735,14317.937142603223,7981.4400000000005,sky,0.008767523430922434,0.6265348944515082,0.01543982115900648,0.3492577609585629,False,False,filename,False,t1000s,1000.0,1.3451956759675479,1.367982303805018
2MASS_1048_01.out.json,2MASS 1048+01,9.499058004698709,9.007000689214498,9.021268917575606,1.4,1.08,39.464617417802955,0.978790882468458,1.054630540449878,1000.0,1,5.665001119195337e-20,656.28,0.069483,656.2801881899037,0.07021082313137186,0.0053928239005927026,1,93,44,0.9999270411957352,790.2849780045993,8178.176135802012,5487.240000000001,sky,0.04880669072171391,0.5050706067267132,0.10723985263074501,0.33888284992082796,False,False,filename,False,t1000s,1000.0,0.11538252464687253,0.12098789054593163
2MASS_1145_23.out.json,2MASS 1145+23,2.202071989052527,2.195109179494014,2.0817375396970377,1.3499999999999996,3.69,2.912111401279003,0.2599992812081477,1.0031719650318798,1000.0,1,1.671860357204467e-20,656.28,0.062884,656.2801511602888,0.06372192797941452,0.0053928239005927026,1,93,40,0.9999286606137476,199.24486090733924,11996.13084594591,6096.933333333334,sky,0.010823352489018874,0.6516522035188016,0.0063276529271169436,0.33119679106506256,False,False,filename,False,t1000s,1000.0,1.1799774406984453,1.1876331636361062
2MASS_1155_37.out.json,2MASS 1155-37,6.466591608014151,6.183981539315104,6.127435722969218,1.4499999999999997,1.0,30.000082112549865,1.239585892982568,1.045700341584517,1000.0,1,3.830010812264476e-20,656.28,0.081606,656.280264546119,0.08233168789735441,0.0053928239005927026,1,93,52,0.9999379849702873,556.2618436932327,9037.006623664558,6484.92,sky,0.03153734920470144,0.5123544548075865,0.0884446775865836,0.36766351840112843,False,False,filename,False,t1000s,1000.0,0.19401483240547843,0.20460676402180256
2MASS_1159_00.out.json,2MASS 1159+00,8.35366216190016,8.116571156971839,7.896811836480053,1.4499999999999997,3.31,19.423017381954796,0.06245499431758395,1.0292107344767956,1000.0,1,8.534930716135478e-20,656.28,0.222401,658.4483451587379,0.013730474972848225,0.005449652636116298,3,92;93;94,150,0.9999408770511906,1204.4847894927004,27827.929856303563,18706.5,sky,0.023779437266463282,0.5493905095739869,0.057518587290024764,0.36931146586952496,False,False,filename,False,t1000s,1000.0,0.13767600359219784,0.14152743487209182
2MASS_1221_02.out.json,2MASS 1221+02,37.09512960590477,35.510160282758015,35.5678265233688,1.5999999999999996,5.01,44.56090973872563,0.27096347279636646,1.044634248635491,1000.0,1,2.9867577550334906e-19,656.28,0.089352,656.2803303245686,0.09016518322992799,0.0053928239005927026,1,93,57,0.9999388835918389,4139.510535819922,10816.290111670583,7108.47,sky,0.16824377077989078,0.439610774870575,0.1032330848974186,0.2889123694521156,False,False,filename,False,t1000s,1000.0,0.02082088527685784,0.02107241663854035
2MASS_1305_25.out.json,2MASS 1305-25,4.260651236058571,4.13537136839007,4.023306160857392,1.4499999999999997,1.75,18.57155448714745,0.1253971111300167,1.0302947079012335,1000.0,1,4.103930524610162e-20,656.28,0.237415,658.4488178435549,0.014575248703342803,0.005449652636116298,3,92;93;94,161,0.9999414205598257,608.8960671696345,27500.006183712518,20078.31,sky,0.011897791989675539,0.5373484424189091,0.05842481363306795,0.3923289519583475,False,False,filename,False,t1000s,1000.0,0.3502029187264462,0.36780181233024584
