target,measured_mean_snr_per_pixel,measured_rms_snr_per_pixel,measured_snr_p16,measured_snr_p84,n_pixels,literature_redmit_snr_per_pixel,literature_provenance,delta_measured_minus_lit
2MASS_0004_40.out.json,39.645022505243304,40.478526521240845,29.95930693165308,48.62542467198761,1055,15.811388300841898,UVES,23.833634204401406
2MASS_0036_18.out.json,63.10114067036561,64.35203603680085,48.35217073176804,77.04310753645431,1055,31.622776601683796,Keck,31.478364068681813
2MASS_0235_23.out.json,30.98538565854599,31.65348980842422,23.261524689025862,38.06688047997426,1055,14.230249470757707,UVES,16.75513618778828
2MASS_0255_47.out.json,33.65154651906093,34.471774462868694,25.09919893010722,41.85868060047012,1055,31.622776601683796,UVES,2.028769917377133
2MASS_0314_16.out.json,58.46805511497203,59.57952217464777,45.110353981894704,71.06672999929613,1055,23.717082451262847,UVES,34.750972663709184
2MASS_0523_14.out.json,45.56967473626731,46.46185941684169,35.03055911184616,55.511057626081815,1055,31.622776601683796,UVES,13.946898134583513
2MASS_0700_31.out.json,21.8757912444292,22.476136560239762,15.85895862022194,27.643003375016136,1055,31.622776601683796,Keck,-9.746985357254594
2MASS_0746_20.out.json,55.46542206330333,56.47773026264569,42.66435906640126,67.13187935599863,1055,39.528470752104745,Keck,15.936951311198584
2MASS_0825_21.out.json,12.179692181705562,12.609063017992105,8.713088765851552,15.723271053451132,1055,9.486832980505138,UVES archive,2.6928592012004238
2MASS_0828_13.out.json,46.47063688233115,47.34732237656531,35.74225807130225,56.40521631827835,1055,23.717082451262847,UVES,22.753554431068302
2MASS_0835_08.out.json,40.71217021026113,41.57192677905175,30.688578942963808,49.95082549583018,1055,23.717082451262847,UVES,16.99508775899828
2MASS_0913_18.out.json,8.29660523823208,8.602352099626493,5.843661281097653,10.761541936623319,1055,7.905694150420949,UVES archive,0.3909110878111317
2MASS_0921_21.out.json,47.03563791357144,47.91793819554796,36.211426705839095,57.05563311040023,1055,31.622776601683796,UVES,15.412861311887646
2MASS_1029_16.out.json,18.681639616366237,19.22380542638502,13.546606630375948,23.645758244450604,1055,15.811388300841898,UVES archive,2.8702513155243388
2MASS_1045_01.out.json,57.09222458779693,58.230822817106926,43.478874621089325,69.63762178283507,1055,31.622776601683796,Keck,25.46944798611313
2MASS_1047_18.out.json,32.54757609448194,33.304826470260494,24.436516001262397,40.235341230348844,1055,15.811388300841898,UVES archive,16.736187793640042
2MASS_1048_01.out.json,48.7239537585362,49.687736472936514,37.40282124022154,59.40769058654767,1055,23.717082451262847,UVES,25.00687130727335
2MASS_1145_23.out.json,13.722130040348391,14.180217596013557,9.866678876621334,17.583680157437925,1055,9.486832980505138,UVES archive,4.235297059843253
2MASS_1155_37.out.json,50.04137180889009,50.9795404469489,38.557394078250226,60.70799137144494,1055,39.528470752104745,UVES,10.512901056785346
2MASS_1159_00.out.json,21.055426469564583,21.604723431442636,15.367952023456077,26.366964748169597,1055,23.717082451262847,UVES archive,-2.6616559816982637
2MASS_1203_00.out.json,36.686785621837615,37.58252145898654,27.53394105625068,45.536186127655746,1055,15.811388300841898,UVES archive,20.875397320995717
2MASS_1221_02.out.json,50.31355171780275,51.32711349873665,38.20207648451765,61.42442584574956,1055,31.622776601683796,UVES,18.690775116118957
2MASS_1300_19.out.json,50.36218691692664,51.373218437660505,38.496649267848284,61.54550345551009,1055,31.622776601683796,UVES,18.739410315242843
2MASS_1305_25.out.json,43.313882448463616,44.18962059646861,32.88379697276848,52.89479162266271,1055,47.434164902525694,Keck,-4.120282454062078
2MASS_1334_19.out.json,13.301715424638257,13.746986535301216,9.527231117990583,17.046041813700853,1055,11.067971810589329,UVES archive,2.2337436140489277
