name,designation,j_mag,temperature_k,airmass_used,exptime_s,json_file,skipped
2MASS 1300+19,2MASS J13004255+1912354,12.72,2200.0,1.3863566203521496,3900.0,etc_jobs_feh/2MASS_1300_19.json,
2MASS 1359-40,2MASS J13595510-4034582,13.65,2200.0,1.0400698491507747,5640.0,etc_jobs_feh/2MASS_1359_40.json,
2MASS 1439+19,2MASS J14392836+1929149,12.76,2200.0,1.3928536939659533,2000.0,etc_jobs_feh/2MASS_1439_19.json,
2MASS 1555-09,2MASS J15551573-0956055,12.56,2200.0,1.0338027019874534,3000.0,etc_jobs_feh/2MASS_1555_09.json,
2MASS 1145+23,2MASS J11455714+2317297,15.39,2140.0,1.492123235886459,7200.0,etc_jobs_feh/2MASS_1145_23.json,
2MASS 1334+19,2MASS J13340623+1940351,15.47,2140.0,1.3973289801358737,7200.0,etc_jobs_feh/2MASS_1334_19.json,
2MASS 1645-13,2MASS J16452211-1319516,12.45,2140.0,1.01975433863659,2400.0,etc_jobs_feh/2MASS_1645_13.json,
2MASS 1807+50,2MASS J18071593+5015316,12.93,2140.0,,5100.0,,never below airmass 2.0 from Paranal (min 3.84)
2MASS 2057-02,2MASS J20575409-0252302,13.12,2140.0,1.0766615579483736,5100.0,etc_jobs_feh/2MASS_2057_02.json,
2MASS 0828-13,2MASS J08283419-1309198,12.8,2080.0,1.020383431718132,3600.0,etc_jobs_feh/2MASS_0828_13.json,
2MASS 0921-21,2MASS J09211410-2104446,12.78,2080.0,1.0019203162839205,3600.0,etc_jobs_feh/2MASS_0921_21.json,
2MASS 1155-37,2MASS J11553952-3727350,12.81,2080.0,1.0256171822982143,4200.0,etc_jobs_feh/2MASS_1155_37.json,
2MASS 1305-25,2MASS J13054019-2541059,13.41,2080.0,1.0001705041573565,5700.0,etc_jobs_feh/2MASS_1305_25.json,
2MASS 0523-14,2MASS J05233822-1403022,13.08,2010.0,1.0172825413787634,4800.0,etc_jobs_feh/2MASS_0523_14.json,
2MASS 1029+16,2MASS J10292165+1626526,14.29,2010.0,1.326522451122927,3600.0,etc_jobs_feh/2MASS_1029_16.json,
2MASS 1047-18,2MASS J10473109-1815574,14.12,2010.0,1.0061946818268046,7200.0,etc_jobs_feh/2MASS_1047_18.json,
2MASS 0913+18,2MASS J09130320+1841501,15.97,1950.0,1.3746036542981594,7200.0,etc_jobs_feh/2MASS_0913_18.json,
2MASS 1203+00,2MASS J12035812+0015500,14.01,1950.0,1.102400973078699,9000.0,etc_jobs_feh/2MASS_1203_00.json,
2MASS 1506+13,2MASS J15065441+1321060,13.37,1950.0,1.2686492510837697,6600.0,etc_jobs_feh/2MASS_1506_13.json,
2MASS 1615+35,2MASS J16154416+3559005,14.54,1950.0,,7200.0,,never below airmass 2.0 from Paranal (min 2.04)
2MASS 2104-10,2MASS J21041491-1037369,13.84,1950.0,1.0306140030855129,3600.0,etc_jobs_feh/2MASS_2104_10.json,
2MASS 0036+18,2MASS J00361617+1821104,12.47,1880.0,1.366880141443709,6000.0,etc_jobs_feh/2MASS_0036_18.json,
2MASS 0700+31,2MASS J07003664+3157266,12.92,1880.0,1.8158437156496086,1500.0,etc_jobs_feh/2MASS_0700_31.json,
2MASS 1705-05,2MASS J17054834-0516462,13.31,1820.0,1.0598535094843917,6300.0,etc_jobs_feh/2MASS_1705_05.json,
2MASS 2224-01,2MASS J22244381-0158521,14.07,1760.0,1.083538287153716,4200.0,etc_jobs_feh/2MASS_2224_01.json,
2MASS 0004-40,2MASS J00043484-4044058,13.11,1700.0,1.0408635825324206,5100.0,etc_jobs_feh/2MASS_0004_40.json,
2MASS 0835-08,2MASS J08354256-0819237,13.17,1700.0,1.0418979242392903,5700.0,etc_jobs_feh/2MASS_0835_08.json,
2MASS 1507-16,2MASS J15074769-1627386,12.83,1700.0,1.0102438670550233,4200.0,etc_jobs_feh/2MASS_1507_16.json,
2MASS 0825+21,2MASS J08251968+2115521,15.1,1500.0,1.4367409980966095,9000.0,etc_jobs_feh/2MASS_0825_21.json,
2MASS 0255-47,2MASS J02550357-4700509,13.25,1480.0,1.0815118750826882,6000.0,etc_jobs_feh/2MASS_0255_47.json,
