name,designation,ra_deg,dec_deg,airmass_min,airmass_used,flux_W_m2,fwhm_nm,cont_over_line,json_file,skipped,exptime_s
2MASS 0314+16,2MASS J03140344+1603056,48.51433333333333,16.051555555555556,1.3186030464411096,1.7,8.340651974086626e-19,0.0741899895966402,0.1446896999180071,etc_jobs/t500s/2MASS_0314_16.json,,500.0
2MASS 1159+00,2MASS J11593850+0057268,179.91041666666666,0.9574444444444444,1.1087091511605898,1.7,8.534930716135478e-20,0.222401099290047,1.0116226437797426,etc_jobs/t500s/2MASS_1159_00.json,,500.0
2MASS 1221+02,2MASS J12212770+0257198,185.36541666666668,2.9555000000000002,1.1282287944238027,1.7,2.9867577550334906e-19,0.0893523471055549,0.26852074611202287,etc_jobs/t500s/2MASS_1221_02.json,,500.0
2MASS 1731+27,2MASS J17312974+2721233,262.8739166666667,27.356472222222223,1.6236698261166822,1.7,9.709570065288217e-19,0.0650133820611274,0.16341260105381206,etc_jobs/t500s/2MASS_1731_27.json,,500.0
2MASS 1854+84,2MASS J18544597+8429470,283.69154166666664,84.49638888888889,inf,1.7,2.686581377268689e-19,0.0507308084804306,0.10818740120132624,,never rises at Paranal,500.0
2MASS 2200-30,2MASS J22000201-3038327,330.008375,-30.642416666666666,1.0055367531098798,1.7,7.066429004252058e-20,0.0694829200654765,0.2938581023892737,etc_jobs/t500s/2MASS_2200_30.json,,500.0
2MASS 0746+20,2MASS J07464256+2000321,116.67733333333334,20.008916666666668,1.405312005994588,1.7,4.297342811536802e-19,0.1055452873685877,0.6733431553480748,etc_jobs/t500s/2MASS_0746_20.json,,500.0
2MASS 1412+16,2MASS J14122449+1633115,213.10204166666668,16.553194444444443,1.3286519529934302,1.7,3.7256323846660314e-20,0.0741899895966402,0.7703479195634585,etc_jobs/t500s/2MASS_1412_16.json,,500.0
2MASS 1441-09,2MASS J14413716-0945590,220.40483333333333,-9.766388888888889,1.03460481956745,1.7,3.4609872548535213e-20,0.0841554361439156,0.8281334944985578,etc_jobs/t500s/2MASS_1441_09.json,,500.0
2MASS 2351-25,2MASS J23515044-2537367,357.9601666666667,-25.62686111111111,1.0001522857281313,1.7,2.6254273189936945e-19,0.1338005659216715,0.7298917827959008,etc_jobs/t500s/2MASS_2351_25.json,,500.0
2MASS 0235-23,2MASS J02355993-2331205,38.99970833333334,-23.52236111111111,1.0001858799997922,1.7,5.286886658508803e-21,0.0608337534182444,4.579564957325438,etc_jobs/t500s/2MASS_0235_23.json,,500.0
